Symbol,Date,Close,RSI,VWAP,Signal
TATASTEEL.NS,2026-07-28 00:00:00+05:30,182.63,37.09,183.26,HOLD
JSWSTEEL.NS,2026-07-28 00:00:00+05:30,1246.9,59.13,1249.33,HOLD
JINDALSTEL.NS,2026-07-28 00:00:00+05:30,1054.4,60.73,1059.3,HOLD
SAIL.NS,2026-07-28 00:00:00+05:30,165.85,59.22,164.39,HOLD
HINDALCO.NS,2026-07-28 00:00:00+05:30,936.4,35.02,939.8,HOLD
VEDL.NS,2026-07-28 00:00:00+05:30,259.35,35.17,261.45,HOLD
HINDZINC.NS,2026-07-28 00:00:00+05:30,526.9,46.96,527.27,HOLD
NATIONALUM.NS,2026-07-28 00:00:00+05:30,334.55,37.16,335.92,HOLD
HINDCOPPER.NS,2026-07-28 00:00:00+05:30,473.15,39.63,476.2,HOLD
NSLNISP.NS,2026-07-28 00:00:00+05:30,42.05,43.68,41.98,HOLD
MOIL.NS,2026-07-28 00:00:00+05:30,267.25,46.74,268.18,HOLD
JSL.NS,2026-07-28 00:00:00+05:30,724.3,62.12,724.7,HOLD
APLAPOLLO.NS,2026-07-28 00:00:00+05:30,1846.7,58.05,1842.9,HOLD
WELCORP.NS,2026-07-28 00:00:00+05:30,1643.1,64.55,1634.0,HOLD
LLOYDSME.NS,2026-07-28 00:00:00+05:30,1979.1,75.19,1988.13,SELL
RATNAMANI.NS,2026-07-28 00:00:00+05:30,2356.5,27.58,2372.43,HOLD
MAHSEAMLES.NS,2026-07-28 00:00:00+05:30,574.1,43.79,573.8,HOLD
HITECH.NS,2026-07-28 00:00:00+05:30,84.93,50.55,85.44,HOLD
VENUSPIPES.NS,2026-07-28 00:00:00+05:30,1661.4,39.62,1670.4,HOLD
SHYAMMETL.NS,2026-07-28 00:00:00+05:30,1027.0,70.66,1030.6,SELL
MIDHANI.NS,2026-07-28 00:00:00+05:30,391.75,34.6,393.82,HOLD
