Symbol,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,PnL,Holding_Days,Status
TATASTEEL.NS,2025-11-20 00:00:00+05:30,170.58,2026-01-08 00:00:00+05:30,181.7,279,3102.66,49,Closed
TATASTEEL.NS,2026-06-17 00:00:00+05:30,196.79,2026-07-28 00:00:00+05:30,182.63,257,-3639.12,41,Open (closed at last price)
JINDALSTEL.NS,2025-12-08 00:00:00+05:30,1007.0,2026-01-08 00:00:00+05:30,1075.3,47,3210.1,31,Closed
JINDALSTEL.NS,2026-06-17 00:00:00+05:30,1139.8,2026-07-28 00:00:00+05:30,1054.4,44,-3757.6,41,Open (closed at last price)
SAIL.NS,2025-08-01 00:00:00+05:30,122.29,2025-09-17 00:00:00+05:30,133.05,389,4186.68,47,Closed
SAIL.NS,2025-12-10 00:00:00+05:30,128.5,2026-01-05 00:00:00+05:30,147.4,403,7616.7,26,Closed
SAIL.NS,2026-06-12 00:00:00+05:30,184.9,2026-07-28 00:00:00+05:30,165.85,321,-6115.05,46,Open (closed at last price)
HINDALCO.NS,2025-11-21 00:00:00+05:30,781.92,2025-12-12 00:00:00+05:30,826.49,60,2674.05,21,Closed
HINDALCO.NS,2026-02-19 00:00:00+05:30,905.87,2026-04-16 00:00:00+05:30,1011.62,55,5816.16,56,Closed
HINDALCO.NS,2026-06-17 00:00:00+05:30,979.89,2026-07-28 00:00:00+05:30,936.4,57,-2478.83,41,Open (closed at last price)
VEDL.NS,2026-05-04 00:00:00+05:30,277.0,2026-05-21 00:00:00+05:30,338.0,171,10431.0,17,Closed
VEDL.NS,2026-06-17 00:00:00+05:30,299.0,2026-07-28 00:00:00+05:30,259.35,194,-7692.1,41,Open (closed at last price)
HINDZINC.NS,2026-02-17 00:00:00+05:30,579.41,2026-04-17 00:00:00+05:30,584.32,82,402.64,59,Closed
HINDZINC.NS,2026-06-03 00:00:00+05:30,622.0,2026-07-28 00:00:00+05:30,526.9,77,-7322.7,55,Open (closed at last price)
NATIONALUM.NS,2026-02-18 00:00:00+05:30,338.81,2026-03-10 00:00:00+05:30,388.07,140,6895.65,20,Closed
NATIONALUM.NS,2026-06-17 00:00:00+05:30,367.4,2026-07-28 00:00:00+05:30,334.55,148,-4861.8,41,Open (closed at last price)
HINDCOPPER.NS,2025-08-29 00:00:00+05:30,228.65,2025-09-16 00:00:00+05:30,279.1,208,10493.29,18,Closed
HINDCOPPER.NS,2026-02-19 00:00:00+05:30,583.0,2026-04-23 00:00:00+05:30,556.45,99,-2628.45,63,Closed
HINDCOPPER.NS,2026-06-04 00:00:00+05:30,541.0,2026-07-28 00:00:00+05:30,473.15,102,-6920.7,54,Open (closed at last price)
NSLNISP.NS,2025-07-30 00:00:00+05:30,37.6,2025-09-17 00:00:00+05:30,46.0,1266,10634.4,49,Closed
NSLNISP.NS,2025-11-19 00:00:00+05:30,42.42,2026-01-01 00:00:00+05:30,44.3,1373,2581.24,43,Closed
NSLNISP.NS,2026-01-23 00:00:00+05:30,40.7,2026-04-21 00:00:00+05:30,41.8,1494,1643.4,88,Closed
NSLNISP.NS,2026-06-25 00:00:00+05:30,44.4,2026-07-28 00:00:00+05:30,42.05,1407,-3306.45,33,Open (closed at last price)
MOIL.NS,2025-07-30 00:00:00+05:30,363.5,2025-09-04 00:00:00+05:30,355.17,131,-1091.28,36,Closed
MOIL.NS,2025-11-26 00:00:00+05:30,321.55,2025-12-30 00:00:00+05:30,353.21,144,4559.09,34,Closed
MOIL.NS,2026-02-18 00:00:00+05:30,309.0,2026-04-09 00:00:00+05:30,298.5,165,-1732.5,50,Closed
MOIL.NS,2026-07-06 00:00:00+05:30,282.3,2026-07-28 00:00:00+05:30,267.25,174,-2618.7,22,Open (closed at last price)
JSL.NS,2025-11-10 00:00:00+05:30,735.49,2025-12-26 00:00:00+05:30,793.52,64,3713.8,46,Closed
JSL.NS,2026-01-22 00:00:00+05:30,763.06,2026-04-20 00:00:00+05:30,791.0,67,1872.27,88,Closed
JSL.NS,2026-05-29 00:00:00+05:30,727.0,2026-07-22 00:00:00+05:30,744.2,73,1255.6,54,Closed
APLAPOLLO.NS,2026-03-13 00:00:00+05:30,2006.8,2026-07-28 00:00:00+05:30,1846.7,23,-3682.3,137,Open (closed at last price)
WELCORP.NS,2025-12-02 00:00:00+05:30,859.15,2026-04-20 00:00:00+05:30,1073.44,55,11785.87,139,Closed
LLOYDSME.NS,2025-08-29 00:00:00+05:30,1313.12,2025-12-19 00:00:00+05:30,1314.31,36,43.17,112,Closed
LLOYDSME.NS,2026-01-15 00:00:00+05:30,1237.96,2026-04-10 00:00:00+05:30,1493.11,38,9695.61,85,Closed
RATNAMANI.NS,2025-07-30 00:00:00+05:30,2649.95,2025-07-31 00:00:00+05:30,2664.37,17,245.06,1,Closed
